filmtv_id,title,year,genre,duration,country,avg_vote,critics_vote,public_vote,total_votes,humor,rhythm,effort,tension,erotism,Labels
38665,Semi-Pro,2008,27,91,51,5.2,5.33,5.0,23,2,2,1,0,0,4
41009,School for Scoundrels ,2006,27,100,51,5.3,5.67,5.0,23,2,2,0,1,0,4
18071,Panni sporchi,1999,27,110,70,5.1,4.83,5.0,23,1,2,1,0,0,4
41195,Sedmikrásky,1966,27,74,88,7.7,7.29,8.0,23,2,2,1,0,1,4
33258,Fauteuils d'orchestre,2006,27,106,42,6.8,7.14,6.0,23,1,2,1,0,0,4
33125,Bad News Bears,2005,27,113,51,6.5,7.33,6.0,23,1,2,0,0,0,4
3933,Local Hero,1984,27,111,51,7.1,7.5,7.0,23,2,2,1,1,0,4
15256,Ridicule,1996,27,102,42,6.4,6.86,6.0,23,1,2,1,0,1,4
76898,Babbo Natale non viene da nord,2015,27,100,70,4.4,3.67,5.0,23,0,0,0,0,0,4
16834,Cucciolo,1998,27,98,70,2.3,1.75,3.0,23,1,2,0,0,0,4
5016,"Pane, burro e marmellata",1977,27,100,70,4.9,4.5,5.0,23,2,2,0,0,0,4
41208,Ce n'è per tutti,2009,27,96,70,5.0,5.0,5.0,23,1,2,1,1,1,4
3269,I grandi magazzini,1939,27,85,70,7.5,7.5,7.0,23,2,2,0,1,0,4
13484,Continuavano a chiamarli er Più e er Meno,1972,27,97,70,5.2,4.5,6.0,23,1,2,0,0,0,4
4651,Rhinestone,1984,27,111,51,3.8,3.33,4.0,23,1,2,0,0,0,4
137329,War with Grandpa,2020,27,93,51,4.9,5.0,5.0,23,0,0,0,0,0,4
18863,Susan's Plan,1998,27,89,51,6.1,6.0,6.0,23,3,3,0,1,1,4
22215,Blek giek,2002,27,90,70,4.8,4.25,5.0,23,2,2,0,0,0,4
3276,Grazie... nonna,1975,27,90,70,3.3,2.67,4.0,23,2,2,0,0,3,4
136960,Ingrid Goes West,2017,27,97,51,6.6,7.0,6.0,23,0,0,0,0,0,4
15058,The Van,1996,27,105,95,5.9,6.0,6.0,23,2,3,2,1,0,4
