filmtv_id,title,year,genre,duration,country,avg_vote,critics_vote,public_vote,total_votes,humor,rhythm,effort,tension,erotism,Labels
24280,25th Hour,2002,4,134,51,8.2,8.37,8.0,528,0,1,4,2,1,8
4992,The Godfather Part II,1974,4,185,51,9.1,9.33,9.0,525,1,4,4,4,1,8
20885,Memento,2000,2,116,51,8.0,7.94,8.0,523,1,3,2,3,0,8
37363,Eastern Promises,2007,12,100,106,7.5,7.4,8.0,521,0,2,3,3,0,8
32326,V for Vendetta,2006,5,132,51,6.9,6.68,7.0,520,0,2,3,2,0,8
24221,Gangs of New York,2002,4,168,51,7.2,7.38,7.0,520,1,2,3,2,1,8
19277,Fight Club,1999,4,135,51,7.2,6.83,8.0,519,1,2,2,3,1,8
24220,Catch Me If You Can,2002,27,141,51,7.8,7.94,8.0,516,3,4,3,3,1,8
29789,Charlie and the Chocolate Factory,2005,5,115,51,7.0,7.15,7.0,516,3,3,3,2,2,8
28917,Sin City,2005,2,123,51,6.8,6.64,7.0,515,1,4,3,3,3,8
16401,La vita è bella,1997,4,131,70,7.2,6.73,8.0,513,2,3,3,3,0,8
54084,Mad Max: Fury Road,2015,19,120,92,7.6,7.45,8.0,512,2,5,2,3,2,8
38078,Il Divo,2008,7,110,70,7.9,8.2,8.0,512,2,3,3,2,0,8
6182,Scarface,1983,12,170,51,8.2,8.03,8.0,511,2,4,3,4,3,8
3610,The Untouchables,1987,21,119,51,8.3,8.34,8.0,511,1,3,0,3,0,8
44736,God of Carnage,2011,27,79,42,7.3,7.16,8.0,509,3,3,3,2,1,8
51,Some Like It Hot,1959,27,120,51,9.1,9.38,9.0,508,4,3,2,2,2,8
27465,Donnie Darko,2001,5,113,51,6.8,6.59,7.0,506,1,2,2,3,0,8
22705,The Pianist,2002,4,148,42,8.1,8.03,8.0,502,1,3,4,4,0,8
11646,The Thing,1982,5,108,51,8.4,8.26,8.0,500,1,2,2,4,0,8
8547,One Flew Over the Cuckoo's Nest,1975,4,135,51,8.7,8.66,9.0,500,1,4,4,3,0,8
18177,The Thin Red Line,1998,15,170,51,8.5,8.77,8.0,495,0,2,3,2,0,8
12742,The Shawshank Redemption,1994,4,140,51,8.2,7.97,8.0,495,1,3,3,4,0,8
38070,Gomorra,2008,4,135,70,7.8,8.09,8.0,494,0,3,4,4,0,8
7417,The Birds,1963,14,115,51,8.8,9.0,9.0,493,1,3,3,3,1,8
5648,Citizen Kane,1941,4,119,51,9.3,9.53,9.0,493,1,3,4,2,0,8
23163,Minority Report,2002,5,145,51,7.3,7.36,7.0,490,1,4,3,3,0,8
57164,Snowpiercer,2013,5,126,20,6.8,6.7,7.0,488,1,3,2,2,0,8
6773,Jaws,1975,14,125,51,8.3,8.55,8.0,487,1,3,2,4,0,8
71234,American Sniper,2014,19,134,51,6.8,6.69,7.0,487,1,3,3,3,0,8
37896,WALL-E,2008,9,98,51,8.6,8.78,9.0,487,2,3,3,2,0,8
48415,Gravity,2013,5,93,51,6.8,6.49,7.0,484,1,3,2,3,0,8
9338,Unforgiven,1992,22,131,51,8.5,8.59,8.0,482,1,2,2,3,1,8
83298,Arrival,2016,5,116,51,7.1,7.14,7.0,480,0,0,0,0,0,8
24468,Sen to Chihiro no kamikakushi,2001,9,122,103,8.6,8.76,8.0,479,1,2,0,3,0,8
13293,Casino,1995,12,178,51,8.3,8.58,8.0,478,1,3,2,3,1,8
36904,Zodiac,2007,14,158,51,7.4,7.49,7.0,478,1,3,3,3,1,8
11445,Per un pugno di dollari,1964,22,95,70,8.3,8.23,8.0,477,1,3,2,3,0,8
26527,Le conseguenze dell'amore,2004,4,100,70,7.8,7.94,8.0,477,1,3,3,3,2,8
36834,Das Leben der Anderen,2006,4,137,113,8.2,8.21,8.0,476,0,3,3,4,1,8
39062,The Wrestler,2009,4,105,51,7.6,7.7,8.0,476,0,3,3,2,1,8
3320,Star Wars,1977,5,118,51,8.3,8.28,8.0,476,3,4,2,4,1,8
25257,Pirates of the Caribbean: The Curse of the Black Pearl,2003,20,143,51,7.0,7.04,7.0,475,2,3,0,1,0,8
43966,Midnight in Paris,2011,27,100,94,6.9,6.77,7.0,475,3,3,3,2,2,8
42842,Black Swan ,2010,4,108,51,6.9,6.49,7.0,474,0,3,4,4,3,8
2316,Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb,1963,7,93,95,8.7,8.67,9.0,474,2,1,2,1,0,8
698,Dead Poets Society,1989,4,129,51,7.6,7.39,8.0,472,1,3,3,2,0,8
9899,Carlito's Way,1993,12,141,51,8.8,8.85,9.0,472,1,3,2,4,1,8
42843,The Social Network,2010,16,121,51,7.3,7.49,7.0,468,3,3,3,2,1,8
38268,Changeling,2008,4,141,51,7.8,7.69,8.0,468,0,2,3,3,0,8
2470,E.T.: The Extra-Terrestrial,1982,5,110,51,7.9,8.55,7.0,467,2,3,2,2,0,8
32783,The Da Vinci Code,2006,14,149,51,5.0,4.64,5.0,465,1,3,3,2,0,8
12730,Paths of Glory,1957,15,86,51,9.3,9.41,9.0,464,1,3,4,3,0,8
124279,Blade Runner 2049,2017,5,152,51,7.2,7.2,7.0,464,0,0,0,0,0,8
1151,C'era una volta il West,1969,22,178,70,8.5,8.27,9.0,464,2,3,3,4,1,8
37662,There Will Be Blood,2007,4,158,51,8.2,8.31,8.0,462,0,2,4,3,0,8
17837,Saving Private Ryan,1998,15,167,51,7.6,7.96,7.0,462,0,3,4,4,0,8
11506,Jurassic Park,1993,20,125,51,7.4,7.54,7.0,459,1,2,1,3,0,8
9844,Bram Stoker's Dracula,1992,13,130,51,7.9,7.87,8.0,459,0,2,2,3,3,8
56675,Her,2013,27,120,51,7.2,6.94,7.0,459,1,1,3,1,2,8
157817,Once Upon a Time in... Hollywood,2019,4,165,51,7.8,8.02,8.0,458,1,1,1,1,0,8
22662,Spider-Man,2002,24,121,51,7.1,6.9,7.0,458,2,3,2,2,1,8
45819,The Dark Knight Rises,2012,19,165,51,7.0,7.16,7.0,458,1,2,3,0,2,8
27008,The Terminal,2004,27,128,51,6.9,7.06,7.0,457,2,2,2,1,0,8
7138,The Elephant Man,1980,4,125,51,8.8,8.87,9.0,456,1,3,4,3,0,8
39955,The Tree of Life,2011,4,138,51,7.4,7.4,7.0,456,0,2,4,2,0,8
27331,The Village,2004,4,107,51,7.2,7.3,7.0,456,1,3,3,4,1,8
162563,Joker,2019,4,122,51,7.5,7.6,7.0,454,1,1,1,1,0,8
10077,Annie Hall,1977,27,90,51,8.6,8.92,8.0,454,4,3,2,1,1,8
7753,Sunset Boulevard,1950,4,100,51,9.4,9.56,9.0,454,2,4,3,4,2,8
81669,Perfetti sconosciuti,2016,27,97,70,6.8,6.55,7.0,454,2,2,2,2,0,8
40630,District 9,2009,5,112,51,7.3,7.08,7.0,453,2,4,3,3,0,8
136546,"Three Billboards Outside Ebbing, Missouri",2017,14,115,51,7.7,7.63,8.0,453,0,0,0,0,0,8
19089,The Sixth Sense,1999,14,107,51,7.7,7.71,8.0,451,1,2,1,3,0,8
25181,Lost in Translation,2003,27,105,51,7.2,7.15,7.0,449,3,2,2,2,1,8
48482,The Silver Linings Playbook,2012,27,120,51,7.0,7.19,7.0,448,3,4,3,2,1,8
27132,Spider-Man 2,2004,24,128,51,7.0,7.21,7.0,447,2,3,2,3,1,8
22441,The Exorcist,1973,13,120,51,8.3,8.54,8.0,447,1,3,2,4,0,8
39423,Slumdog Millionaire,2008,27,120,95,6.9,6.67,7.0,447,2,3,2,3,1,8
9959,Raging Bull,1980,4,128,51,8.6,8.84,8.0,447,1,3,2,3,1,8
19360,The Straight Story,1999,4,111,51,8.5,8.63,8.0,446,1,2,3,2,0,8
47465,Intouchables,2011,27,112,42,7.3,7.13,7.0,446,3,4,4,2,0,8
11008,Il sorpasso,1962,27,108,70,8.9,9.12,9.0,446,3,4,3,3,1,8
69817,Inside Out,2015,9,102,51,8.3,8.47,8.0,443,3,3,3,2,0,8
65251,Nightcrawler,2014,14,117,51,7.5,7.55,7.0,443,1,3,3,3,0,8
39614,Up,2009,9,96,51,8.4,8.5,8.0,443,2,2,1,1,0,8
26513,Troy,2004,3,155,51,5.4,5.0,6.0,442,0,2,1,1,1,8
37636,I Am Legend,2007,5,101,51,6.0,5.83,6.0,440,0,2,1,3,0,8
30226,Brokeback Mountain,2005,25,134,51,7.5,7.59,7.0,440,0,2,2,2,2,8
4977,8 1/2,1963,7,140,70,8.8,9.26,8.0,440,2,2,3,1,2,8
10882,I soliti ignoti,1958,27,111,70,8.8,8.82,9.0,439,4,3,2,2,0,8
52576,The Best Offer,2012,4,124,70,7.1,6.85,7.0,439,1,2,2,2,2,8
880,Batman,1989,24,124,51,7.4,7.52,7.0,438,1,2,2,2,1,8
43009,Hereafter,2010,4,129,51,6.8,6.53,7.0,438,1,2,3,3,1,8
32574,Inside Man,2005,14,129,51,7.7,7.65,8.0,437,0,3,2,3,0,8
13556,Rosemary's Baby,1968,13,136,51,8.9,9.18,9.0,436,1,3,3,5,1,8
45820,Prometheus,2012,5,123,51,6.3,6.19,6.0,434,0,2,1,2,0,8
14864,Trainspotting,1996,7,94,95,7.7,7.34,8.0,433,2,3,3,2,1,8
39054,The Curious Case of Benjamin Button,2008,4,159,51,6.2,5.85,7.0,433,1,2,3,1,1,8
45529,Hugo Cabret,2011,4,130,51,7.1,6.76,7.0,433,0,1,1,1,0,8
18815,American History X,1998,4,120,51,7.7,7.41,8.0,433,1,3,3,3,0,8
141270,The Shape of Water,2017,5,120,51,7.0,7.28,7.0,433,0,0,0,0,0,8
5177,Per qualche dollaro in più,1965,22,130,70,8.2,7.85,9.0,433,1,3,1,3,0,8
58430,Prisoners,2013,14,146,51,7.7,7.74,8.0,433,0,3,3,4,0,8
26536,Oldboy,2003,2,119,20,8.0,7.69,8.0,431,2,4,2,3,2,8
58171,Il capitale umano,2014,4,109,70,7.2,7.44,7.0,431,1,2,3,2,2,8
3535,Indiana Jones and the Last Crusade,1989,20,127,51,8.0,8.11,8.0,430,3,4,2,3,1,8
13088,The Usual Suspects,1995,14,105,51,7.8,7.67,8.0,430,1,4,3,4,1,8
117950,Dunkirk,2017,19,107,51,7.2,7.38,7.0,430,0,0,0,0,0,8
74278,Sicario,2015,14,121,51,7.6,7.79,7.0,429,1,3,3,4,1,8
38300,Burn After Reading,2008,27,96,51,6.8,6.83,7.0,427,2,2,2,1,0,8
22235,Le fabuleux destin d'Amélie Poulain,2000,27,122,42,7.0,6.63,7.0,426,3,3,2,2,1,8
21846,The Others,2001,13,104,94,7.5,7.26,8.0,425,0,2,1,3,0,8
7662,Blue Velvet,1986,2,120,51,8.0,7.98,8.0,424,1,3,3,3,3,8
3323,The Warriors,1979,19,94,51,8.1,7.89,8.0,424,0,3,2,3,1,8
40109,Whatever Works,2009,27,92,51,7.3,7.22,7.0,424,3,2,3,0,0,8
6968,Suspiria,1977,13,100,70,8.0,8.0,8.0,423,1,3,2,4,1,8
3831,Ladri di biciclette,1948,4,90,70,9.4,9.83,9.0,423,1,3,4,3,0,8
3621,North by Northwest,1959,23,136,51,8.9,9.03,9.0,423,2,3,2,3,2,8
44161,This Must Be the Place,2011,4,118,70,6.3,6.0,7.0,421,1,2,3,2,0,8
7075,Terminator 2 - Judgement Day,1991,5,140,51,7.9,7.69,8.0,421,2,3,1,3,0,8
39954,Alice in Wonderland,2010,5,110,51,5.4,5.14,6.0,421,1,1,2,1,0,8
41881,The Ghost Writer ,2010,14,128,51,7.4,7.63,7.0,421,1,2,4,4,1,8
74708,The Martian,2015,5,130,51,7.0,7.09,7.0,420,2,3,2,3,0,8
47290,Argo,2012,4,120,51,7.2,7.38,7.0,420,2,3,3,4,0,8
40495,Moon,2009,5,97,95,7.4,7.18,8.0,419,0,2,3,2,0,8
4113,Manhattan,1979,27,96,51,8.3,8.47,8.0,419,3,1,3,0,1,8
2194,La dolce vita,1960,4,178,70,8.9,9.63,8.0,418,1,3,4,1,2,8
164157,Gisaengchung,2019,4,132,20,8.0,8.11,8.0,418,2,3,2,3,1,8
19484,The Green Mile,1999,4,188,51,7.4,7.04,8.0,417,2,3,4,3,0,8
23505,Insomnia,2002,14,119,51,6.8,6.66,7.0,416,0,2,2,3,0,8
30256,Corpse Bride,2005,9,75,95,7.8,8.0,8.0,416,3,4,2,3,1,8
43410,The King's Speech ,2010,18,111,95,7.1,6.81,7.0,415,2,3,3,2,0,8
16665,Good Will Hunting,1997,4,100,51,6.9,6.4,7.0,412,1,3,3,2,0,8
13380,Twelve Monkeys,1996,5,125,51,7.4,7.59,7.0,412,2,3,3,3,1,8
27711,The Aviator,2004,4,170,51,6.6,6.44,7.0,412,1,2,3,1,1,8
36712,Ratatouille,2007,9,111,51,7.8,7.76,8.0,412,3,3,0,1,0,8
72403,Bridge of Spies,2015,4,135,51,7.4,7.72,7.0,412,1,3,3,3,0,8
84174,La La Land,2016,6,126,51,7.3,7.39,7.0,412,0,0,0,0,0,8
24571,Dogville,2003,4,165,53,7.5,7.48,7.0,411,1,1,4,3,2,8
2657,Fantozzi,1975,27,100,70,8.1,8.15,8.0,410,4,3,3,0,0,8
16903,Les 400 coups,1959,4,93,42,9.1,9.24,9.0,409,1,3,3,1,0,8
15093,From Dusk Till Dawn,1996,13,95,51,7.0,6.9,7.0,408,1,3,1,2,1,8
22161,The Man Who Wasn't There,2001,2,114,51,8.3,8.39,8.0,408,1,3,3,2,1,8
