filmtv_id,title,year,genre,duration,country,avg_vote,critics_vote,public_vote,total_votes,humor,rhythm,effort,tension,erotism,Labels
11436,Viaggio in Italia,1954,4,79,70,7.8,8.72,7.0,103,0,2,3,2,0,5
56977,3 Days to Kill,2014,14,117,51,5.2,5.29,5.0,103,2,2,2,1,1,5
79091,Bacalaureat,2016,4,127,16,7.2,7.48,7.0,103,0,0,1,0,0,5
21881,Session 9,2001,13,100,51,7.1,7.4,7.0,103,0,2,3,3,0,5
44715,The Way,2010,4,140,51,6.5,6.87,6.0,103,1,2,2,1,0,5
136809,Good Time,2017,14,99,51,6.2,5.86,7.0,103,0,0,0,0,0,5
42939,Rio,2011,9,96,51,6.6,6.73,6.0,103,3,4,3,3,2,5
40626,A Perfect Getaway,2009,14,98,51,6.0,6.38,6.0,103,0,2,1,2,1,5
152205,Unsane,2018,4,98,51,6.4,6.38,7.0,103,0,0,0,0,0,5
179795,The Invisible Man,2020,13,124,92,6.3,6.07,6.0,103,0,1,1,1,0,5
14530,Fellini Satyricon,1969,7,135,70,7.4,7.62,7.0,103,1,2,3,1,1,5
1968,From Here to Eternity,1953,4,118,51,7.4,7.71,7.0,103,2,3,3,3,1,5
72703,Demolition,2015,4,100,51,6.2,6.36,6.0,103,0,1,1,1,0,5
25428,Basic,2003,4,98,106,6.4,6.67,6.0,103,0,3,1,2,0,5
11872,Predator 2,1991,5,101,51,5.3,5.0,6.0,103,0,2,0,1,1,5
4382,The Hunger,1983,13,95,51,6.7,6.58,7.0,103,0,2,1,3,2,5
70747,Annabelle,2014,13,98,51,4.3,4.14,4.0,103,0,2,0,2,0,5
19271,Summer of Sam,1999,4,144,51,7.3,7.33,7.0,103,1,3,3,3,2,5
32,Sleeping with the Enemy,1990,4,96,51,5.1,4.5,6.0,103,1,3,2,3,1,5
40698,Lo spazio bianco,2009,4,98,70,6.2,6.24,6.0,103,1,2,3,1,1,5
22464,Dragonfly,2002,14,103,51,5.0,4.29,6.0,103,0,2,1,2,1,5
11670,Teorema,1968,4,98,70,7.4,7.14,8.0,103,1,2,4,3,2,5
278,Jacob's Ladder,1990,4,107,51,7.4,7.4,7.0,103,0,3,2,3,0,5
23658,Ken Park,2002,4,96,51,6.7,6.89,6.0,103,1,3,3,2,1,5
137318,A Teströl és Lélekröl,2017,4,116,119,7.1,7.15,7.0,103,0,0,0,0,0,5
2243,La donna della domenica,1975,14,105,70,7.3,7.61,7.0,103,1,2,1,2,1,5
2791,Flash Gordon,1980,5,100,95,5.8,5.56,6.0,103,1,2,0,2,1,5
14925,A Time to Kill,1996,14,150,51,5.9,5.86,6.0,103,1,3,3,3,1,5
15999,Lolita,1997,4,133,51,5.3,4.91,6.0,103,0,2,1,1,2,5
16174,Ice Storm,1997,4,112,51,6.5,6.54,6.0,102,1,2,2,3,1,5
23675,11'09''01 - September 11,2002,4,135,42,6.8,6.75,7.0,102,1,3,4,3,0,5
12934,Crimson Tide,1995,15,140,51,5.9,5.4,6.0,102,0,3,1,3,0,5
122488,Happy End,2017,4,110,42,6.7,6.71,7.0,102,0,0,0,0,0,5
76996,Free State of Jones,2016,4,141,51,6.2,5.91,7.0,102,0,1,1,1,0,5
24548,Ghost Ship,2002,13,89,51,5.5,5.36,6.0,102,0,1,2,1,0,5
19292,Anna and the King,1999,4,156,51,6.8,7.0,7.0,102,1,2,1,0,0,5
8827,The Guns of Navarone,1960,15,157,95,7.6,7.88,7.0,102,1,3,1,3,0,5
18270,Message in the Bottle,1999,1,122,51,5.7,5.2,6.0,102,1,2,0,1,1,5
39762,Friday the 13th,2009,13,99,51,3.9,3.82,4.0,102,1,2,1,2,1,5
12341,La città delle donne,1980,7,148,70,6.7,6.82,7.0,102,2,4,2,1,2,5
151097,Widows,2018,14,128,51,6.0,5.8,6.0,102,0,0,0,0,0,5
11429,Ulisse,1953,3,104,70,7.1,6.8,7.0,102,3,4,3,4,3,5
12482,Halloween II,1981,13,88,51,6.1,6.0,6.0,102,1,2,1,3,1,5
43156,Gorbaciof,2010,4,85,70,6.3,5.89,7.0,102,1,3,3,2,1,5
74628,La loi du marché,2015,4,92,42,6.4,6.47,6.0,102,0,1,4,1,0,5
86579,Fiore,2016,4,110,70,6.5,6.87,6.0,102,0,0,0,0,0,5
2729,Children of a Lesser God,1986,4,118,51,7.0,7.1,7.0,102,1,2,2,2,1,5
47166,The Flowers of War,2011,4,142,115,6.9,7.08,7.0,102,0,2,3,2,1,5
39820,The Messenger,2009,4,105,51,6.9,7.2,7.0,101,1,2,3,2,1,5
61956,Razredni sovražnik,2013,4,112,7,7.1,7.18,7.0,101,1,2,4,3,0,5
16300,Nick of Time,1995,14,89,51,6.4,6.38,6.0,101,0,3,1,3,0,5
10157,Kalifornia,1993,14,117,51,6.1,6.31,6.0,101,1,2,0,2,1,5
50815,Gli equilibristi,2012,4,100,70,6.4,6.18,7.0,101,1,2,4,2,0,5
67163,Macbeth,2015,4,113,95,5.7,5.44,6.0,101,0,0,1,0,0,5
75096,The Good Dinosaur,2015,9,100,51,7.0,7.09,7.0,101,2,3,2,2,0,5
35619,Monster House,2006,9,91,51,6.9,7.0,7.0,101,3,3,2,2,0,5
16495,Event Horizon,1997,5,95,51,6.0,5.6,6.0,101,0,2,1,2,0,5
39980,Il grande sogno,2009,4,101,70,5.4,5.29,5.0,101,1,2,1,1,1,5
83514,7 minuti,2016,4,88,70,6.3,6.32,6.0,101,0,0,0,0,0,5
78836,Gli ultimi saranno ultimi,2015,4,103,70,5.3,5.06,5.0,101,1,2,3,2,0,5
56477,Anni felici,2013,4,100,70,6.2,6.57,6.0,101,2,2,2,1,3,5
28057,The Forgotten,2004,14,91,51,4.8,4.75,5.0,101,0,2,0,2,0,5
165681,The Lion King,2019,9,118,51,5.9,5.73,6.0,101,0,0,0,0,0,5
32926,The Omen,2006,13,110,51,5.2,5.18,5.0,101,0,2,0,3,0,5
36882,Ils,2006,14,77,42,5.9,5.79,6.0,101,0,2,0,2,0,5
17589,City of Angels,1998,5,114,51,5.6,5.33,6.0,101,1,2,1,1,1,5
23429,The Last Castle,2001,4,131,51,6.0,5.8,6.0,101,0,2,1,2,0,5
172787,Doctor Sleep,2019,13,151,51,5.7,5.85,6.0,101,0,0,0,0,0,5
30767,The Wild Blue Yonder,2005,11,81,42,7.6,7.44,8.0,101,1,1,4,1,0,5
9454,Pet Sematary,1989,13,99,51,6.1,5.78,6.0,101,0,2,0,4,0,5
42439,The Housemaid,2010,14,107,20,6.3,6.31,6.0,101,0,2,2,2,1,5
21219,El Topo,1971,7,125,126,7.7,7.56,8.0,101,1,1,4,1,2,5
156111,Upgrade,2018,13,95,92,6.7,6.55,7.0,101,0,0,0,0,0,5
45323,Red State,2011,13,97,51,6.6,6.59,7.0,101,2,3,1,4,1,5
45805,Contraband,2012,14,119,51,6.0,6.0,6.0,101,0,3,1,3,0,5
37221,Open Water 2: Adrift,2006,14,95,113,4.2,3.71,5.0,100,1,3,2,3,1,5
32659,Zathura: a Space Adventure,2006,5,113,51,6.0,6.22,6.0,100,2,3,0,2,0,5
7516,The Man Who Fell to Earth,1976,5,115,95,6.8,6.78,7.0,100,0,3,3,3,3,5
7531,Celovek s kinoapparatom,1929,11,67,4,7.8,9.05,6.0,100,1,4,4,2,0,5
20277,Following,1999,2,70,95,7.0,6.91,7.0,100,1,2,1,3,1,5
